S1,S2,S3,S4,S5,S6,S7,S8,T,H
1011.00,1542.0,2031.0,2511.0,3027.0,2499.0,1503.0,1530.0,46.8,29.9
1011.00,1542.0,2031.0,2511.0,3024.0,2499.0,1503.0,1530.0,46.8,30.0
1011.00,1542.0,2031.0,2511.0,3027.0,2499.0,1503.0,1530.0,46.8,29.9
1005.00,1533.0,2010.0,2472.0,2988.0,2472.0,1485.0,1515.0,46.9,29.9
1002.00,1530.0,2001.0,2445.0,2964.0,2454.0,1476.0,1503.0,46.9,29.9
1005.00,1533.0,1998.0,2442.0,2958.0,2445.0,1470.0,1503.0,46.9,29.9
1008.00,1536.0,1998.0,2442.0,2961.0,2445.0,1467.0,1500.0,46.9,29.9
1008.00,1530.0,1986.0,2412.0,2934.0,2424.0,1458.0,1491.0,46.9,29.9
1008.00,1533.0,1959.0,2370.0,2934.0,2415.0,1458.0,1473.0,46.9,29.9
1020.00,1548.0,2007.0,2442.0,2937.0,2418.0,1467.0,1506.0,46.9,30.0
1020.00,1542.0,1848.0,2553.0,2949.0,2424.0,1563.0,1524.0,46.9,29.9
1020.00,1587.0,2001.0,2451.0,2958.0,2415.0,1470.0,1512.0,46.9,29.9
1119.00,1644.0,2016.0,2493.0,2970.0,2433.0,1494.0,1542.0,46.9,30.9
1170.00,1698.0,2028.0,2526.0,2949.0,2442.0,1512.0,1572.0,46.9,32.9
1203.00,1728.0,2025.0,2529.0,2820.0,2433.0,1518.0,1587.0,46.9,36.3
1233.00,1761.0,2031.0,2550.0,2988.0,2445.0,1539.0,1611.0,46.9,38.0
1248.00,1782.0,2040.0,2568.0,2988.0,2454.0,1557.0,1635.0,46.9,39.4
1260.00,1797.0,2046.0,2583.0,2952.0,2466.0,1575.0,1653.0,46.9,40.2
1263.00,1803.0,2049.0,2595.0,3018.0,2478.0,1593.0,1671.0,46.9,40.7
1263.00,1812.0,2052.0,2610.0,2652.0,2493.0,1611.0,1683.0,46.9,40.9
1266.00,1815.0,2055.0,2619.0,3030.0,2505.0,1623.0,1695.0,46.9,41.0
1266.00,1821.0,2061.0,2628.0,2943.0,2517.0,1638.0,1707.0,46.9,40.9
1266.00,1824.0,2064.0,2637.0,3060.0,2532.0,1650.0,1713.0,47.0,40.8
1269.00,1830.0,2064.0,2643.0,3078.0,2544.0,1662.0,1719.0,46.9,40.7
1275.00,1836.0,2067.0,2652.0,2859.0,2556.0,1671.0,1725.0,46.9,40.7
1281.00,1842.0,2070.0,2655.0,3087.0,2571.0,1677.0,1728.0,46.9,40.7
1284.00,1848.0,2076.0,2664.0,3042.0,2583.0,1686.0,1734.0,46.9,40.9
1287.00,1851.0,2076.0,2670.0,3099.0,2595.0,1692.0,1734.0,47.0,41.0
1284.00,1851.0,2076.0,2673.0,2931.0,2607.0,1698.0,1737.0,47.0,41.1
1275.00,1848.0,2079.0,2679.0,3114.0,2619.0,1704.0,1737.0,47.0,40.8
1272.00,1848.0,2079.0,2682.0,3123.0,2634.0,1707.0,1737.0,47.0,40.5
1269.00,1848.0,2079.0,2682.0,3138.0,2646.0,1710.0,1737.0,47.0,40.3
1269.00,1848.0,2079.0,2685.0,3099.0,2658.0,1713.0,1740.0,47.0,39.9
1269.00,1851.0,2082.0,2688.0,2979.0,2667.0,1716.0,1740.0,47.0,39.8
1272.00,1851.0,2085.0,2691.0,3126.0,2679.0,1719.0,1743.0,47.0,39.8
1272.00,1851.0,2085.0,2691.0,2898.0,2691.0,1722.0,1743.0,47.0,39.7
1272.00,1851.0,2088.0,2685.0,3105.0,2700.0,1725.0,1743.0,47.0,39.7
1272.00,1848.0,2088.0,2697.0,3168.0,2712.0,1728.0,1743.0,47.0,39.6
1269.00,1848.0,2088.0,2697.0,3171.0,2721.0,1728.0,1746.0,47.0,39.5
1272.00,1848.0,2088.0,2700.0,3180.0,2730.0,1731.0,1746.0,47.0,39.4
1269.00,1845.0,2088.0,2703.0,3183.0,2739.0,1731.0,1746.0,47.0,39.3
1269.00,1845.0,2091.0,2703.0,3183.0,2748.0,1734.0,1746.0,47.0,39.2
1269.00,1845.0,2091.0,2703.0,3183.0,2757.0,1734.0,1746.0,47.0,39.2
1272.00,1848.0,2091.0,2706.0,3186.0,2763.0,1737.0,1746.0,47.0,39.2
1278.00,1851.0,2091.0,2703.0,3189.0,2772.0,1737.0,1746.0,47.0,39.3
1278.00,1851.0,2091.0,2709.0,3192.0,2781.0,1737.0,1746.0,47.0,39.4
1278.00,1851.0,2091.0,2706.0,3201.0,2787.0,1737.0,1743.0,47.0,39.5
1275.00,1848.0,2091.0,2706.0,3204.0,2799.0,1737.0,1743.0,47.0,39.4
1275.00,1848.0,2091.0,2706.0,3201.0,2808.0,1737.0,1740.0,47.0,39.3
1278.00,1848.0,2091.0,2706.0,3195.0,2814.0,1737.0,1740.0,47.0,39.3
1278.00,1851.0,2088.0,2709.0,3210.0,2820.0,1737.0,1740.0,47.0,39.3
1278.00,1848.0,2091.0,2709.0,3075.0,2826.0,1740.0,1740.0,47.0,39.3
1272.00,1842.0,2091.0,2709.0,3189.0,2823.0,1731.0,1740.0,47.0,39.4
1275.00,1845.0,2088.0,2709.0,3213.0,2838.0,1737.0,1740.0,47.0,39.2
1272.00,1845.0,2091.0,2709.0,3063.0,2844.0,1737.0,1740.0,47.0,39.2
1275.00,1848.0,2088.0,2709.0,3213.0,2850.0,1737.0,1737.0,47.0,39.1
1278.00,1848.0,2091.0,2709.0,3210.0,2856.0,1737.0,1737.0,47.0,39.1
1278.00,1848.0,2091.0,2709.0,3216.0,2862.0,1737.0,1737.0,47.0,39.2
1278.00,1848.0,2088.0,2709.0,3210.0,2868.0,1737.0,1737.0,47.0,39.3
1278.00,1848.0,2088.0,2712.0,3219.0,2874.0,1737.0,1737.0,47.0,39.3
1281.00,1851.0,2088.0,2709.0,3219.0,2877.0,1737.0,1737.0,47.0,39.3
1287.00,1857.0,2088.0,2712.0,3216.0,2883.0,1737.0,1737.0,47.0,39.5
1293.00,1863.0,2088.0,2712.0,3210.0,2889.0,1740.0,1737.0,47.0,39.7
1299.00,1866.0,2091.0,2712.0,3222.0,2895.0,1740.0,1737.0,47.0,40.1
1302.00,1869.0,2091.0,2715.0,3210.0,2901.0,1740.0,1737.0,47.0,40.3
1302.00,1869.0,2091.0,2712.0,3129.0,2904.0,1740.0,1737.0,47.0,40.5
1299.00,1869.0,2094.0,2712.0,3231.0,2910.0,1740.0,1737.0,47.0,40.6
1296.00,1866.0,2094.0,2712.0,3228.0,2916.0,1740.0,1737.0,47.0,40.5
1293.00,1866.0,2094.0,2709.0,3231.0,2919.0,1737.0,1734.0,47.0,40.5
1293.00,1863.0,2094.0,2712.0,2820.0,2922.0,1737.0,1734.0,47.0,40.4
1290.00,1863.0,2094.0,2712.0,3228.0,2928.0,1737.0,1734.0,47.0,40.3
1287.00,1860.0,2091.0,2712.0,3228.0,2931.0,1737.0,1734.0,47.1,40.2
1281.00,1857.0,2091.0,2709.0,3225.0,2937.0,1737.0,1734.0,47.0,40.1
1281.00,1857.0,2091.0,2712.0,3234.0,2940.0,1737.0,1731.0,47.0,39.9
1284.00,1860.0,2088.0,2712.0,3093.0,2943.0,1737.0,1731.0,47.0,39.9
1290.00,1866.0,2091.0,2712.0,3228.0,2949.0,1737.0,1731.0,47.0,40.0
1293.00,1866.0,2091.0,2715.0,3195.0,2952.0,1737.0,1731.0,47.1,40.3
1290.00,1866.0,2088.0,2703.0,3222.0,2955.0,1734.0,1725.0,47.0,40.4
1287.00,1863.0,2094.0,2709.0,3162.0,2958.0,1734.0,1728.0,47.1,40.4
1284.00,1860.0,2094.0,2712.0,3210.0,2964.0,1734.0,1725.0,47.0,40.4
1284.00,1860.0,2094.0,2709.0,3237.0,2967.0,1731.0,1725.0,47.0,40.3
1284.00,1857.0,2094.0,2709.0,3231.0,2970.0,1731.0,1725.0,47.1,40.2
1278.00,1848.0,2088.0,2700.0,3084.0,2964.0,1725.0,1719.0,47.1,40.1
1278.00,1854.0,2097.0,2706.0,3240.0,2976.0,1728.0,1722.0,47.1,40.1
1278.00,1854.0,2097.0,2709.0,3069.0,2979.0,1728.0,1722.0,47.1,40.0
1278.00,1854.0,2100.0,2709.0,3240.0,2982.0,1728.0,1722.0,47.1,40.0
1278.00,1851.0,2100.0,2709.0,3237.0,2982.0,1728.0,1722.0,47.1,40.0
1278.00,1854.0,2100.0,2709.0,3228.0,2985.0,1728.0,1722.0,47.1,40.0
1284.00,1860.0,2103.0,2712.0,3231.0,2988.0,1728.0,1722.0,47.0,40.2
1287.00,1860.0,2106.0,2712.0,3231.0,2991.0,1728.0,1722.0,47.1,40.4
1287.00,1863.0,2106.0,2712.0,3240.0,2991.0,1728.0,1725.0,47.1,40.5
1287.00,1860.0,2106.0,2709.0,3240.0,2997.0,1728.0,1722.0,47.1,40.7
1284.00,1860.0,2106.0,2712.0,3198.0,3000.0,1728.0,1722.0,47.1,40.6
1281.00,1860.0,2106.0,2709.0,3234.0,3000.0,1728.0,1722.0,47.1,40.6
1281.00,1860.0,2106.0,2709.0,3243.0,3003.0,1725.0,1719.0,47.1,40.6
1278.00,1857.0,2106.0,2709.0,3252.0,3006.0,1725.0,1719.0,47.1,40.6
1278.00,1857.0,2106.0,2706.0,3243.0,2994.0,1725.0,1719.0,47.1,40.5
1275.00,1854.0,2106.0,2706.0,3198.0,3009.0,1725.0,1719.0,47.1,40.4
1272.00,1854.0,2106.0,2706.0,3249.0,3012.0,1725.0,1716.0,47.1,40.3
1272.00,1851.0,2106.0,2706.0,3246.0,3012.0,1722.0,1716.0,47.1,40.3
1269.00,1851.0,2103.0,2706.0,3213.0,3015.0,1722.0,1716.0,47.1,40.2
1254.00,1836.0,2112.0,2721.0,3213.0,3033.0,1731.0,1722.0,47.1,40.0
1197.00,1788.0,2109.0,2706.0,3273.0,3036.0,1725.0,1707.0,47.1,38.7
1149.00,1740.0,2085.0,2685.0,2952.0,3021.0,1704.0,1686.0,47.0,36.7
1119.00,1716.0,2082.0,2646.0,3138.0,3012.0,1686.0,1656.0,47.1,35.1
1098.00,1695.0,2073.0,2628.0,3228.0,3009.0,1671.0,1638.0,47.1,33.7
1086.00,1680.0,2064.0,2613.0,3222.0,3000.0,1656.0,1623.0,47.1,32.6
1074.00,1668.0,2061.0,2604.0,3126.0,2991.0,1644.0,1611.0,47.1,31.9
1068.00,1659.0,2055.0,2595.0,2994.0,2985.0,1632.0,1602.0,47.1,31.4
1062.00,1650.0,2052.0,2589.0,3174.0,2979.0,1623.0,1593.0,47.1,31.0
1056.00,1644.0,2046.0,2583.0,3174.0,2973.0,1614.0,1584.0,47.1,30.7
1053.00,1638.0,2046.0,2577.0,3093.0,2967.0,1608.0,1578.0,47.1,30.6
1050.00,1632.0,2040.0,2562.0,3120.0,2958.0,1599.0,1572.0,47.1,30.4
1047.00,1629.0,2037.0,2565.0,3102.0,2952.0,1593.0,1566.0,47.1,30.3
1047.00,1623.0,2034.0,2562.0,3159.0,2946.0,1587.0,1560.0,47.1,30.2
1044.00,1620.0,2034.0,2559.0,3150.0,2940.0,1578.0,1557.0,47.1,30.1
1041.00,1617.0,2031.0,2556.0,3144.0,2918.0,1575.0,1554.0,47.1,30.1
1041.00,1614.0,2028.0,2553.0,3087.0,2925.0,1569.0,1551.0,47.1,30.1
1038.00,1611.0,2028.0,2553.0,2943.0,2919.0,1566.0,1548.0,47.1,30.0
1038.00,1608.0,2025.0,2550.0,3102.0,2913.0,1563.0,1548.0,47.1,30.0
