S1,S2,S3,S4,S5,S6,S7,S8,T,H
1059.00,1560.0,2046.0,2526.0,2901.0,2673.0,1527.0,1545.0,47.5,29.3
1059.00,1560.0,2046.0,2523.0,3081.0,2670.0,1527.0,1545.0,47.4,29.4
1062.00,1560.0,2046.0,2523.0,3087.0,2670.0,1527.0,1545.0,47.4,29.3
1059.00,1557.0,2040.0,2511.0,2976.0,2658.0,1521.0,1539.0,47.5,29.4
1059.00,1557.0,2040.0,2508.0,3069.0,2658.0,1521.0,1539.0,47.5,29.3
1056.00,1551.0,2034.0,2496.0,3063.0,2646.0,1518.0,1533.0,47.5,29.3
1059.00,1557.0,2034.0,2496.0,2973.0,2649.0,1518.0,1536.0,47.5,29.3
1056.00,1557.0,2034.0,2496.0,3054.0,2637.0,1518.0,1536.0,47.5,29.3
1059.00,1557.0,2034.0,2499.0,2961.0,2646.0,1518.0,1536.0,47.4,29.3
1062.00,1557.0,2034.0,2499.0,2901.0,2646.0,1518.0,1536.0,47.4,29.3
1062.00,1560.0,2034.0,2502.0,2958.0,2646.0,1518.0,1536.0,47.5,29.3
1062.00,1560.0,2037.0,2505.0,2979.0,2646.0,1521.0,1539.0,47.5,29.3
1062.00,1560.0,2037.0,2508.0,3072.0,2649.0,1521.0,1539.0,47.5,29.3
1062.00,1560.0,2040.0,2508.0,3075.0,2646.0,1521.0,1539.0,47.5,29.3
1062.00,1560.0,2037.0,2505.0,3051.0,2649.0,1521.0,1539.0,47.5,29.3
1062.00,1560.0,2037.0,2502.0,3075.0,2649.0,1521.0,1539.0,47.5,29.3
1062.00,1560.0,2034.0,2502.0,3075.0,2649.0,1521.0,1536.0,47.5,29.3
1059.00,1557.0,2034.0,2496.0,3075.0,2649.0,1518.0,1533.0,47.5,29.3
1059.00,1557.0,2031.0,2496.0,3066.0,2649.0,1518.0,1530.0,47.5,29.2
1059.00,1557.0,2028.0,2496.0,3066.0,2649.0,1515.0,1530.0,47.5,29.2
1059.00,1557.0,2028.0,2493.0,3066.0,2649.0,1515.0,1530.0,47.5,29.2
1053.00,1551.0,2016.0,2475.0,3033.0,2625.0,1500.0,1515.0,47.5,29.2
1050.00,1548.0,2016.0,2469.0,2994.0,2619.0,1497.0,1512.0,47.5,29.3
1050.00,1545.0,2013.0,2463.0,3027.0,2613.0,1491.0,1506.0,47.5,29.3
1125.00,1620.0,2022.0,2481.0,3009.0,2607.0,1497.0,1524.0,47.5,30.2
1179.00,1659.0,2034.0,2514.0,2961.0,2610.0,1515.0,1554.0,47.5,32.3
1221.00,1695.0,2052.0,2544.0,3003.0,2616.0,1536.0,1584.0,47.6,34.3
1269.00,1734.0,2076.0,2601.0,3048.0,2622.0,1566.0,1635.0,47.6,36.3
1299.00,1755.0,2100.0,2643.0,3066.0,2631.0,1599.0,1680.0,47.6,37.7
1338.00,1788.0,2127.0,2685.0,3066.0,2646.0,1635.0,1725.0,47.6,39.0
1368.00,1809.0,2145.0,2718.0,3102.0,2661.0,1668.0,1761.0,47.5,40.2
1395.00,1833.0,2160.0,2742.0,3108.0,2676.0,1701.0,1794.0,47.6,41.2
1410.00,1845.0,2172.0,2766.0,3120.0,2691.0,1728.0,1821.0,47.6,42.2
1425.00,1857.0,2184.0,2784.0,3180.0,2709.0,1755.0,1839.0,47.5,42.7
1428.00,1851.0,2190.0,2799.0,3108.0,2721.0,1773.0,1854.0,47.6,43.0
1425.00,1848.0,2196.0,2802.0,3213.0,2733.0,1788.0,1857.0,47.6,43.0
1434.00,1860.0,2199.0,2802.0,3099.0,2748.0,1800.0,1860.0,47.6,43.1
1419.00,1848.0,2187.0,2805.0,3159.0,2751.0,1803.0,1863.0,47.6,42.9
1413.00,1845.0,2190.0,2805.0,3252.0,2775.0,1818.0,1866.0,47.6,42.5
1413.00,1845.0,2190.0,2811.0,3114.0,2787.0,1824.0,1866.0,47.6,42.0
1422.00,1848.0,2193.0,2814.0,3264.0,2799.0,1830.0,1869.0,47.6,41.8
1428.00,1851.0,2196.0,2823.0,3252.0,2811.0,1836.0,1869.0,47.6,41.8
1434.00,1854.0,2199.0,2829.0,3213.0,2823.0,1845.0,1875.0,47.6,41.9
1440.00,1854.0,2202.0,2832.0,3237.0,2835.0,1848.0,1878.0,47.6,41.9
1443.00,1854.0,2205.0,2838.0,3276.0,2847.0,1854.0,1878.0,47.6,41.9
1446.00,1854.0,2211.0,2844.0,3282.0,2859.0,1860.0,1884.0,47.6,41.9
1449.00,1854.0,2217.0,2853.0,3177.0,2868.0,1863.0,1887.0,47.5,41.9
1455.00,1854.0,2220.0,2859.0,3321.0,2880.0,1872.0,1890.0,47.5,41.9
