S1,S2,S3,S4,S5,S6,S7,S8,T,H
1458.00,1857.0,2229.0,2871.0,3141.0,2892.0,1878.0,1899.0,47.5,41.9
1464.00,1857.0,2238.0,2883.0,3339.0,2901.0,1884.0,1905.0,47.5,41.9
1470.00,1857.0,2244.0,2886.0,3345.0,2913.0,1893.0,1908.0,47.5,41.9
1473.00,1857.0,2247.0,2892.0,3348.0,2922.0,1896.0,1911.0,47.5,41.9
1476.00,1857.0,2253.0,2895.0,3327.0,2937.0,1899.0,1914.0,47.5,41.9
1476.00,1854.0,2253.0,2898.0,3363.0,2946.0,1902.0,1914.0,47.5,41.8
1479.00,1851.0,2256.0,2898.0,3354.0,2955.0,1905.0,1914.0,47.5,41.7
1479.00,1851.0,2256.0,2901.0,3369.0,2961.0,1905.0,1914.0,47.5,41.5
1482.00,1854.0,2256.0,2904.0,3378.0,2970.0,1908.0,1911.0,47.5,41.5
1485.00,1854.0,2256.0,2904.0,3345.0,2979.0,1908.0,1911.0,47.5,41.6
1485.00,1854.0,2256.0,2904.0,3348.0,2988.0,1908.0,1911.0,47.5,41.6
1485.00,1854.0,2253.0,2901.0,3390.0,2994.0,1908.0,1908.0,47.5,41.5
1488.00,1854.0,2250.0,2901.0,3402.0,3000.0,1905.0,1905.0,47.5,41.6
1488.00,1857.0,2250.0,2901.0,3399.0,3009.0,1905.0,1902.0,47.5,41.7
1488.00,1857.0,2247.0,2898.0,3399.0,3015.0,1902.0,1899.0,47.4,41.7
1488.00,1857.0,2241.0,2895.0,3366.0,3021.0,1902.0,1893.0,47.4,41.7
1488.00,1857.0,2238.0,2892.0,3399.0,3027.0,1899.0,1890.0,47.4,41.7
1485.00,1857.0,2232.0,2889.0,3387.0,3030.0,1896.0,1887.0,47.4,41.8
1482.00,1857.0,2226.0,2883.0,3396.0,3036.0,1893.0,1881.0,47.4,41.8
1479.00,1848.0,2214.0,2871.0,3396.0,3039.0,1884.0,1869.0,47.4,41.7
1476.00,1854.0,2214.0,2874.0,3393.0,3045.0,1884.0,1872.0,47.4,41.6
1473.00,1854.0,2211.0,2874.0,3393.0,3048.0,1881.0,1869.0,47.4,41.6
1470.00,1851.0,2208.0,2874.0,3390.0,3054.0,1881.0,1866.0,47.4,41.5
1467.00,1851.0,2205.0,2871.0,3384.0,3057.0,1878.0,1863.0,47.4,41.4
1467.00,1851.0,2205.0,2874.0,3381.0,3060.0,1875.0,1863.0,47.4,41.4
1470.00,1854.0,2202.0,2874.0,3363.0,3063.0,1875.0,1860.0,47.4,41.4
1470.00,1854.0,2202.0,2874.0,3372.0,3069.0,1875.0,1860.0,47.4,41.5
1473.00,1854.0,2202.0,2874.0,3381.0,3072.0,1875.0,1860.0,47.4,41.6
1470.00,1854.0,2202.0,2874.0,3384.0,3075.0,1875.0,1860.0,47.4,41.7
1470.00,1854.0,2202.0,2874.0,3381.0,3078.0,1872.0,1857.0,47.4,41.7
1467.00,1848.0,2205.0,2874.0,3375.0,3072.0,1872.0,1860.0,47.4,41.7
1473.00,1857.0,2205.0,2877.0,3375.0,3084.0,1872.0,1860.0,47.4,41.8
1473.00,1857.0,2208.0,2880.0,3378.0,3090.0,1872.0,1863.0,47.4,41.8
1473.00,1854.0,2211.0,2883.0,3381.0,3090.0,1875.0,1863.0,47.4,41.8
1473.00,1854.0,2214.0,2883.0,3381.0,3093.0,1875.0,1863.0,47.4,41.7
1476.00,1854.0,2217.0,2892.0,3375.0,3099.0,1878.0,1869.0,47.4,41.7
1479.00,1854.0,2223.0,2898.0,3375.0,3102.0,1881.0,1875.0,47.3,41.8
1482.00,1854.0,2229.0,2904.0,3387.0,3105.0,1887.0,1878.0,47.4,41.8
1488.00,1857.0,2232.0,2904.0,3378.0,3108.0,1887.0,1881.0,47.4,42.0
1482.00,1848.0,2238.0,2907.0,3384.0,3105.0,1887.0,1884.0,47.3,41.9
1479.00,1851.0,2238.0,2910.0,3384.0,3111.0,1890.0,1887.0,47.4,41.7
1482.00,1851.0,2241.0,2913.0,3390.0,3114.0,1893.0,1887.0,47.3,41.6
1485.00,1854.0,2244.0,2916.0,3396.0,3117.0,1893.0,1887.0,47.3,41.5
1485.00,1854.0,2244.0,2913.0,3297.0,3120.0,1893.0,1887.0,47.3,41.5
1488.00,1857.0,2241.0,2913.0,3300.0,3123.0,1893.0,1884.0,47.3,41.5
1485.00,1860.0,2238.0,2907.0,3312.0,3126.0,1893.0,1881.0,47.3,41.6
1479.00,1857.0,2232.0,2904.0,3393.0,3129.0,1890.0,1875.0,47.4,41.6
1476.00,1857.0,2229.0,2898.0,3402.0,3129.0,1884.0,1869.0,47.3,41.5
1473.00,1854.0,2226.0,2895.0,3396.0,3132.0,1881.0,1866.0,47.4,41.3
1473.00,1854.0,2226.0,2886.0,3390.0,3135.0,1881.0,1857.0,47.3,41.4
1476.00,1857.0,2226.0,2898.0,3396.0,3135.0,1881.0,1863.0,47.3,41.3
1479.00,1860.0,2226.0,2904.0,3396.0,3138.0,1881.0,1869.0,47.3,41.4
1479.00,1860.0,2226.0,2904.0,3393.0,3138.0,1881.0,1869.0,47.3,41.5
1476.00,1857.0,2226.0,2904.0,3396.0,3141.0,1881.0,1869.0,47.3,41.4
1476.00,1857.0,2226.0,2901.0,3396.0,3144.0,1881.0,1866.0,47.3,41.4
1476.00,1857.0,2226.0,2901.0,3399.0,3144.0,1881.0,1866.0,47.3,41.3
1476.00,1860.0,2223.0,2901.0,3399.0,3147.0,1881.0,1863.0,47.3,41.5
1479.00,1863.0,2223.0,2901.0,3396.0,3150.0,1878.0,1863.0,47.4,41.5
1482.00,1866.0,2223.0,2901.0,3387.0,3150.0,1878.0,1863.0,47.3,41.6
1482.00,1869.0,2223.0,2901.0,3399.0,3153.0,1878.0,1863.0,47.3,41.8
1479.00,1863.0,2214.0,2901.0,3381.0,3144.0,1872.0,1857.0,47.3,41.9
1479.00,1869.0,2220.0,2898.0,3378.0,3156.0,1875.0,1860.0,47.3,41.9
1479.00,1869.0,2217.0,2898.0,3384.0,3156.0,1875.0,1857.0,47.3,41.8
1476.00,1866.0,2217.0,2895.0,3378.0,3159.0,1872.0,1857.0,47.3,41.9
1476.00,1866.0,2214.0,2895.0,3378.0,3159.0,1872.0,1854.0,47.3,41.8
1473.00,1866.0,2214.0,2895.0,3360.0,3162.0,1872.0,1854.0,47.3,41.8
1470.00,1863.0,2214.0,2892.0,3384.0,3162.0,1869.0,1854.0,47.3,41.7
1470.00,1863.0,2214.0,2895.0,3390.0,3165.0,1869.0,1854.0,47.3,41.7
1470.00,1863.0,2217.0,2898.0,3390.0,3165.0,1872.0,1854.0,47.3,41.6
1467.00,1863.0,2217.0,2898.0,3387.0,3168.0,1869.0,1857.0,47.3,41.6
1464.00,1860.0,2214.0,2898.0,3381.0,3168.0,1869.0,1854.0,47.3,41.5
1464.00,1860.0,2214.0,2898.0,3366.0,3168.0,1869.0,1854.0,47.3,41.4
1464.00,1860.0,2217.0,2901.0,3378.0,3171.0,1869.0,1857.0,47.3,41.4
1467.00,1860.0,2226.0,2910.0,3414.0,3189.0,1881.0,1863.0,47.3,41.4
1398.00,1782.0,2211.0,2871.0,3414.0,3195.0,1866.0,1833.0,47.3,40.2
1335.00,1743.0,2190.0,2838.0,3399.0,3192.0,1845.0,1797.0,47.3,38.1
1266.00,1710.0,2169.0,2802.0,3378.0,3186.0,1818.0,1761.0,47.3,36.0
1236.00,1686.0,2148.0,2769.0,3378.0,3177.0,1791.0,1725.0,47.3,34.3
1215.00,1668.0,2133.0,2748.0,3099.0,3168.0,1764.0,1698.0,47.3,32.4
1197.00,1653.0,2115.0,2721.0,3207.0,3159.0,1743.0,1674.0,47.3,31.6
1185.00,1644.0,2103.0,2706.0,3042.0,3147.0,1722.0,1650.0,47.3,31.0
1176.00,1638.0,2094.0,2697.0,3141.0,3144.0,1707.0,1641.0,47.3,30.6
1167.00,1632.0,2082.0,2688.0,3042.0,3138.0,1692.0,1626.0,47.3,30.3
1158.00,1623.0,2073.0,2679.0,3093.0,3129.0,1680.0,1614.0,47.3,30.1
1149.00,1617.0,2067.0,2670.0,3027.0,3120.0,1665.0,1605.0,47.3,30.0
1143.00,1614.0,2061.0,2661.0,2967.0,3114.0,1656.0,1593.0,47.3,29.9
1137.00,1608.0,2055.0,2652.0,2859.0,3105.0,1644.0,1587.0,47.3,29.8
1131.00,1605.0,2052.0,2646.0,2874.0,3096.0,1632.0,1578.0,47.3,29.6
1125.00,1602.0,2046.0,2637.0,2850.0,3087.0,1623.0,1572.0,47.3,29.6
1122.00,1599.0,2040.0,2631.0,2850.0,3081.0,1617.0,1566.0,47.3,29.6
1119.00,1590.0,2031.0,2616.0,3021.0,3072.0,1602.0,1557.0,47.3,29.5
1113.00,1593.0,2034.0,2619.0,2853.0,3063.0,1602.0,1557.0,47.3,29.4
1110.00,1593.0,2031.0,2616.0,2778.0,3057.0,1593.0,1554.0,47.3,29.5
1107.00,1590.0,2031.0,2610.0,2826.0,3048.0,1590.0,1551.0,47.3,29.5
1107.00,1587.0,2028.0,2607.0,2793.0,3039.0,1584.0,1548.0,47.3,29.5
1104.00,1587.0,2028.0,2604.0,3156.0,3036.0,1578.0,1545.0,47.3,29.4
1101.00,1584.0,2025.0,2598.0,2745.0,3027.0,1575.0,1542.0,47.3,29.4
1095.00,1581.0,2022.0,2592.0,2685.0,3021.0,1572.0,1539.0,47.3,29.4
1092.00,1581.0,2019.0,2586.0,2883.0,3015.0,1566.0,1536.0,47.3,29.3
1089.00,1578.0,2016.0,2580.0,2856.0,3006.0,1560.0,1533.0,47.3,29.3
1086.00,1575.0,2013.0,2577.0,2742.0,3000.0,1554.0,1530.0,47.3,29.3
1077.00,1569.0,2010.0,2574.0,2685.0,2985.0,1551.0,1527.0,47.3,29.2
